MaxDegree: 7   num: 9
Final translucency score: 0.826367
Para sensitivity on max VP paths: sum(T_angle)=0.923716, sum(T_length)=0.333363, sum(T_location)=0.927673, sum(S_horiz)=0.794686, weighted_sum=0.826367, valid_paths=60
Path stats on effective max-VP paths: avg_effective_len=2.033333, total_inner_middle=57, total_outer_middle=5, avg_inner_middle=0.950000, avg_outer_middle=0.083333, avg_straightness=0.966480, valid_path_num=60
KT_weights: 0.500000, 0.100000, 0.100000, 0.300000
[Final translucency edges] used 70 / 120 edges.
Used edges detail (edge_index, from, to, usage_count):
0, 0, 44, 1
1, 44, 2, 3
3, 49, 21, 3
4, 49, 32, 1
8, 39, 21, 1
9, 53, 22, 2
11, 53, 31, 1
12, 39, 10, 1
13, 51, 37, 1
14, 43, 3, 1
19, 56, 26, 3
23, 5, 54, 2
24, 54, 30, 1
25, 36, 59, 1
26, 59, 17, 3
27, 59, 24, 3
29, 35, 40, 1
31, 36, 14, 3
32, 14, 48, 3
33, 48, 57, 2
36, 53, 55, 1
37, 24, 46, 1
40, 40, 5, 2
42, 46, 47, 4
43, 23, 49, 1
47, 42, 17, 2
48, 7, 44, 1
49, 58, 11, 1
50, 42, 27, 3
52, 39, 9, 2
55, 18, 46, 1
57, 40, 1, 3
58, 6, 25, 2
59, 41, 31, 2
60, 0, 49, 3
61, 1, 54, 1
62, 43, 10, 1
63, 3, 39, 1
64, 4, 59, 3
65, 5, 59, 3
66, 6, 18, 2
69, 9, 44, 3
70, 10, 53, 1
72, 12, 53, 1
73, 13, 46, 1
75, 16, 43, 1
78, 19, 48, 1
79, 20, 42, 1
81, 22, 56, 3
86, 28, 36, 1
87, 29, 24, 1
92, 34, 39, 1
94, 36, 17, 3
95, 38, 26, 1
98, 38, 22, 1
99, 41, 26, 2
101, 46, 33, 3
104, 51, 10, 2
105, 51, 32, 2
106, 54, 47, 1
108, 58, 18, 1
109, 8, 59, 1
110, 11, 54, 1
111, 15, 53, 2
114, 43, 21, 2
115, 45, 51, 3
116, 50, 3, 1
117, 50, 45, 1
118, 52, 43, 1
119, 55, 51, 2
